sku,itemName,itemVariety,itemType,cannabisType,status,toleranceLevel,isVegan,imgURL,salesDescription
THC-GUM-PEA-20M,Gummies-Orange-pear/THC/20mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000616067.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
THC-GUM-RAS-20M,Gummies-Raspberry-lemon/THC/20mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000616001.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
THC-GUM-STR-20M,Gummies-Strawberry-prosecco/THC/20mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000609219.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
THC-GOL-MIL-240-RHB 7008,"Goldbar-Red, High and Blue Chocolate/THC/240mg",Edibles,THC,Indica,Active,Middle,,DocTemplates_ItemImage_2356153000001297008.png,"Summer is here and we would like to celebrate that with you! We made a special Summer Goldbar with white Belgian chocolate, Maine blueberries, strawberries AND for the first time strain specific oil from our Blueberry cannabis plants. Enjoy those long dreamy summer nights with a piece of red, high and blue.12 square doses per bar with 20mg each."
,Blueberry Pre-Rolls,Flower,THC,Indica,Active,Middle,,DocTemplates_ItemImage_2356153000001181010.png,"Our prerolls contain 1 gram of our hand trimmed, sunshine grown, A-grade flower, tightly sealed in childproof and recyclable glass containers. We use only high quality buds from the tops of our favorite indica, sativa, and hybrid strains. "
THC-GUM-GRA-10M,Gummies-Grape-apricot /THC/10mg,Edibles,THC,Indica,Active,Low,,DocTemplates_ItemImage_2356153000000894003.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 10mg each of our own potent sun-grown cannabis oil per package.
THC-GUM-GRA-20M,Gummies-Grape-apricot/THC/20mg,Edibles,THC,Indica,Active,Middle,,DocTemplates_ItemImage_2356153000000894023.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
,Mandarin Jack Pre-Rolls,Flower,THC,Sativa,Active,Middle,,DocTemplates_ItemImage_2356153000001442009.png,"Our prerolls contain 1 gram of our hand trimmed, sunshine grown, A-grade flower, tightly sealed in childproof and recyclable glass containers. We use only high quality buds from the tops of our favorite indica, sativa, and hybrid strains. "
THC-GUM-MIM-10M,Gummies-Mimosa /THC/10mg,Edibles,THC,Sativa,Active,Low,,DocTemplates_ItemImage_2356153000000616083.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 10mg each of our own potent sun-grown cannabis oil per package.
THC-GUM-BLU-20M,Gummies-Blueberry-mango/THC/20mg,Edibles,THC,Sativa,Active,Middle,,DocTemplates_ItemImage_2356153000001155044.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
THC-GUM-MIM-20M,Gummies-Mimosa /THC/20mg,Edibles,THC,Sativa,Active,Middle,,DocTemplates_ItemImage_2356153000000616093.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
